epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,71.5459,0.64696,0.93536,1.02056,0.67394,0.69074,0.85257,0.56179,1.62479,1.47886,1.36471,2.82082e-05,2.82082e-05,2.82082e-05
40,73.3094,0.80191,0.83737,1.16665,0.67394,0.69074,0.85257,0.56179,1.62479,1.47886,1.36471,2.84911e-05,2.84911e-05,2.84911e-05
41,75.1845,0.75766,0.92581,1.06113,0.68206,0.66552,0.76929,0.48791,1.59484,1.48925,1.35653,2.87504e-05,2.87504e-05,2.87504e-05
42,76.8963,0.87998,1.88263,1.27725,0.68206,0.66552,0.76929,0.48791,1.59484,1.48925,1.35653,2.89861e-05,2.89861e-05,2.89861e-05
43,78.7522,0.84634,1.22121,1.22832,0.67822,0.65,0.76238,0.47306,1.62135,1.52863,1.38428,2.91983e-05,2.91983e-05,2.91983e-05
44,80.469,1.07475,0.98551,1.45156,0.67822,0.65,0.76238,0.47306,1.62135,1.52863,1.38428,2.93869e-05,2.93869e-05,2.93869e-05
45,82.3538,0.61311,0.92507,0.99474,0.69168,0.65,0.76251,0.47229,1.6097,1.54532,1.38072,2.9552e-05,2.9552e-05,2.9552e-05
46,84.1315,0.81893,0.99716,1.26861,0.69168,0.65,0.76251,0.47229,1.6097,1.54532,1.38072,2.96935e-05,2.96935e-05,2.96935e-05
47,85.9515,0.88527,1.46228,1.36126,0.73572,0.65,0.7323,0.43907,1.62213,1.60097,1.3867,2.98114e-05,2.98114e-05,2.98114e-05
48,87.7276,0.78723,1.63342,1.17226,0.73572,0.65,0.7323,0.43907,1.62213,1.60097,1.3867,2.99058e-05,2.99058e-05,2.99058e-05
49,89.5376,0.67282,0.72235,1.24558,0.68408,0.65,0.70533,0.41426,1.62324,1.62038,1.38763,2.99766e-05,2.99766e-05,2.99766e-05
50,91.2621,0.80313,0.81087,1.29462,0.68408,0.65,0.70533,0.41426,1.62324,1.62038,1.38763,3.00238e-05,3.00238e-05,3.00238e-05
51,93.1361,0.85786,0.83912,1.15555,0.65922,0.67498,0.69821,0.40628,1.59148,1.63198,1.38031,3.00475e-05,3.00475e-05,3.00475e-05
52,94.9118,0.97473,0.96867,1.34818,0.65922,0.67498,0.69821,0.40628,1.59148,1.63198,1.38031,3.00476e-05,3.00476e-05,3.00476e-05
53,96.6733,0.64629,0.69844,1.1783,0.65922,0.67498,0.69821,0.40628,1.59148,1.63198,1.38031,3.00242e-05,3.00242e-05,3.00242e-05
54,98.5631,0.78823,0.91342,1.23436,0.69186,0.67154,0.69635,0.40819,1.57607,1.6756,1.38092,2.99772e-05,2.99772e-05,2.99772e-05
55,100.289,0.80046,0.95288,1.12111,0.69186,0.67154,0.69635,0.40819,1.57607,1.6756,1.38092,2.99066e-05,2.99066e-05,2.99066e-05
